journey,conversion_flg,counts
Quick_Reorder > viewed_favourite_store > Menu > added_item > Menu > added_item > Menu > added_item > CheckoutViewController,true,12
Appetizers > added_item > Dessert > added_item > CheckoutActivity,true,12
viewed_favourite_store > Menu > added_item > Menu > added_item > Drinks > CheckoutViewController,true,12
Menu > added_item > Drinks > CheckoutViewController,true,12
Menu > added_item > Drinks > added_item > Menu > added_item > CheckoutViewController,true,12
viewed_favourite_store > Appetizers > added_item > Appetizers > added_item > Menu > added_item > Appetizers > added_item > CheckoutViewController,true,12
Appetizers > added_item > Menu > added_item > Menu > added_item > Menu > added_item > CheckoutActivity,true,11
viewed_favourite_store > Appetizers > added_item > Appetizers > added_item > Appetizers > Menu > added_item > CheckoutViewController,true,11
Menu > Appetizers > added_item > Menu > added_item > Menu > added_item > CheckoutActivity,true,11
viewed_favourite_store > added_item > Kids Menu > added_item > Kids Menu > added_item > CheckoutViewController,true,11
viewed_favourite_store > Menu > added_item > Menu > added_item > Menu > CheckoutViewController,true,11
Quick_Reorder > Menu > added_item > Menu > added_item > Menu > added_item > CheckoutViewController,true,11
added_item > Menu > added_item > Appetizers > added_item > CheckoutViewController,true,11
Menu > added_item > Menu > Appetizers > added_item > Menu > added_item > CheckoutActivity,true,11
Menu > Appetizers > Menu > added_item > Menu > added_item > CheckoutActivity,true,11
Drinks > added_item > Drinks > added_item > CheckoutViewController,true,11
viewed_favourite_store > Dessert > added_item > Dessert > added_item > CheckoutViewController,true,11
viewed_favourite_store > Menu > added_item > Appetizers > added_item > Menu > added_item > Appetizers > added_item > CheckoutViewController,true,11
viewed_favourite_store > added_item > Menu Extras > added_item > CheckoutViewController,true,11
added_item > Kids Menu > added_item > Kids Menu > added_item > CheckoutViewController,true,11
Sauces & Sides > added_item > Sauces & Sides > added_item > CheckoutActivity,true,11
Quick_Reorder > viewed_favourite_store > added_item > Appetizers > added_item > CheckoutViewController,true,11
Drinks > Menu > added_item > CheckoutActivity,true,11
Appetizers > added_item > Menu > added_item > Menu > added_item > Appetizers > added_item > CheckoutActivity,true,11
viewed_favourite_store > added_item > Kids Menu > CheckoutViewController,true,11
Menu > added_item > Kids Menu > added_item > Menu > added_item > CheckoutViewController,true,11
viewed_favourite_store > added_item > Dessert > CheckoutViewController,true,11
viewed_favourite_store > Menu > added_item > Menu > added_item > Menu Extras > added_item > CheckoutViewController,true,11
viewed_favourite_store > Kids Menu > added_item > Appetizers > added_item > CheckoutViewController,true,11
Menu > CheckoutActivity,true,11
Menu > added_item > Sauces & Sides > added_item > Sauces & Sides > added_item > CheckoutViewController,true,11
viewed_favourite_store > Kids Menu > added_item > Menu > added_item > Menu > added_item > CheckoutViewController,true,11
Kids Menu > added_item > Kids Menu > added_item > Menu > added_item > CheckoutActivity,true,11
viewed_favourite_store > Menu > added_item > Menu > added_item > Menu > added_item > Menu > added_item > Menu > added_item > CheckoutViewController,true,10
Appetizers > added_item > Appetizers > added_item > Appetizers > added_item > Menu > added_item > CheckoutActivity,true,10
Menu > added_item > Appetizers > added_item > Sauces & Sides > added_item > CheckoutActivity,true,10
viewed_favourite_store > Menu > added_item > Menu > added_item > Menu > added_item > Menu > added_item > Appetizers > added_item > CheckoutViewController,true,10
Menu > added_item > Menu > added_item > Menu Extras > added_item > CheckoutActivity,true,10
viewed_favourite_store > Kids Menu > added_item > Drinks > added_item > CheckoutViewController,true,10
Appetizers > added_item > Kids Menu > added_item > Menu > added_item > CheckoutActivity,true,10
Menu > added_item > Menu > added_item > Appetizers > added_item > Appetizers > added_item > CheckoutActivity,true,10
Dessert > added_item > Dessert > added_item > CheckoutActivity,true,10
viewed_favourite_store > Appetizers > added_item > Menu > added_item > Dessert > added_item > CheckoutViewController,true,10
Menu > Appetizers > Menu > added_item > Appetizers > added_item > CheckoutViewController,true,10
