journey,conversion_flg,counts
ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Dessert > ProductActivity > CheckoutActivity,false,12
GuidedMenuViewController > ProductViewController > GuidedMenuViewController > PV: Appetizers > ProductViewController,false,12
ProductListActivity > ProductActivity > ProductListActivity > ProductActivity > CheckoutActivity,false,12
StoreTableViewController > GuidedMenuViewController > PV: Entrees > ProductViewController > GuidedMenuViewController > PV: Appetizers,false,12
GuidedMenuViewController > PV: Entrees > ProductViewController > GuidedMenuViewController > PV: Appetizers > ProductViewController > GuestCheckoutTableViewController,false,12
StoreTableViewController > GuidedMenuViewController > PV: Entrees > ProductViewController > GuidedMenuViewController > PV: Entrees > ProductViewController > GuestCheckoutTableViewController,false,12
ProductListActivity > ProductActivity > ProductListActivity,false,12
ProductListActivity > PV: Menu Extras > ProductActivity > CheckoutActivity,false,12
GuidedMenuViewController > PV: Entrees > GuidedMenuViewController > PV: Menu Extras,false,12
GuidedMenuViewController > StoreTableViewController > GuidedMenuViewController,false,11
ProductListActivity > PV: Entrees > ProductListActivity > PV: Entrees > ProductActivity,false,11
GuidedMenuViewController > PV: Menu Extras > GuidedMenuViewController > PV: Appetizers,false,11
StoreTableViewController > GuidedMenuViewController > PV: Appetizers > StoreTableViewController,false,11
BasketViewController,false,11
GuidedMenuViewController > PV: Appetizers > ProductViewController > GuidedMenuViewController > PV: Entrees > ProductViewController > GuestCheckoutTableViewController,false,11
StoreTableViewController > GuidedMenuViewController > PV: Appetizers > ProductViewController > GuidedMenuViewController > PV: Entrees > ProductViewController > GuidedMenuViewController,false,11
ProductActivity > ProductListActivity > PV: Kids Menu > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > CheckoutActivity,false,11
ProductListActivity > PV: Appetizers > ProductActivity > PV: Appetizers > ProductListActivity > PV: Appetizers > ProductActivity > CheckoutActivity,false,11
GuidedMenuViewController > PV: Dessert > ProductViewController,false,11
StoreTableViewController > GuidedMenuViewController > PV: Entrees > StoreTableViewController,false,11
ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Entrees,false,11
StoreTableViewController > GuidedMenuViewController > StoreTableViewController > GuidedMenuViewController > PV: Appetizers,false,11
ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Appetizers > ProductActivity > PV: Appetizers > CheckoutActivity,false,10
StoreTableViewController > GuidedMenuViewController > PV: Entrees > GuidedMenuViewController > PV: Appetizers > GuidedMenuViewController > PV: Entrees,false,10
ProductListActivity > PV: Entrees > ProductListActivity > PV: Entrees > ProductListActivity > PV: Entrees > ProductListActivity > PV: Entrees > ProductListActivity > PV: Entrees,false,10
ProductActivity > ProductListActivity > ProductActivity > CheckoutActivity,false,10
StoreTableViewController > GuidedMenuViewController > PV: Viewed Family Value Bundles,false,10
ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > ProductListActivity > PV: Entrees > ProductActivity > CheckoutActivity,false,10
StoreTableViewController > GuidedMenuViewController > PV: Appetizers > GuidedMenuViewController > PV: Entrees > GuidedMenuViewController > PV: Entrees > GuidedMenuViewController,false,10
ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Appetizers > ProductActivity > ProductListActivity > PV: Drinks > ProductActivity > CheckoutActivity,false,10
GuidedMenuViewController > PV: Appetizers > GuidedMenuViewController > PV: Drinks > GuidedMenuViewController,false,10
