journey,conversion_flg,counts
Menu > Appetizers > Menu > Drinks > Menu,false,4
viewed_favourite_store > Menu > Appetizers > Menu > Kids Menu > Menu,false,4
viewed_favourite_store > Appetizers > Menu > Menu Extras > Menu,false,4
viewed_favourite_store > Appetizers > added_item > Menu > added_item > Drinks > added_item,false,4
Quick_Reorder > Appetizers > Menu > added_item,false,4
Appetizers > Menu >  > Menu,false,4
viewed_favourite_store > Appetizers > added_item > Menu > added_item > Menu > added_item > Appetizers > added_item,false,4
Appetizers > Menu > Sauces & Sides > ,false,4
Appetizers > added_item > Menu Extras,false,4
Menu > Kids Menu > Drinks,false,4
viewed_favourite_store > Appetizers > added_item > Dessert > added_item,false,4
Appetizers > added_item > Appetizers > added_item > Drinks > added_item > Drinks > added_item,false,4
Appetizers > added_item > Menu Extras > added_item,false,4
Appetizers > Menu Extras > Appetizers,false,4
viewed_favourite_store > Appetizers > Menu > Menu Extras,false,4
Menu > added_item > Appetizers > added_item > Dessert > added_item,false,4
Menu > Kids Menu > Sauces & Sides,false,4
 > Menu > Appetizers,false,4
Appetizers > added_item > Dessert,false,4
Menu > Appetizers > Menu > Sauces & Sides > Menu,false,4
 > added_item >  > added_item,false,4
Quick_Reorder > Menu > Dessert,false,4
Quick_Reorder > Menu > added_item > Appetizers > added_item,false,4
Menu > added_item > Dessert > added_item > Menu,false,4
Menu > added_item > ,false,4
Drinks > Appetizers > added_item > Menu,false,4
Menu > added_item > Menu > added_item > Sauces & Sides > added_item,false,4
Sauces & Sides > Menu > added_item > Menu > added_item,false,4
viewed_favourite_store > Menu > added_item > Appetizers > added_item > Menu > added_item,false,4
viewed_favourite_store > Appetizers > viewed_favourite_store > Menu,false,4
viewed_favourite_store >  > added_item > ,false,4
Appetizers > Kids Menu > added_item,false,4
viewed_favourite_store > added_item > Dessert > added_item,false,4
Menu > Appetizers > added_item > Menu > added_item > Menu,false,4
viewed_favourite_store > Appetizers > Menu > Appetizers > added_item,false,4
Menu > Appetizers > Menu Extras,false,4
viewed_favourite_store > Appetizers > added_item > Menu > added_item > Menu > added_item > Menu > added_item,false,4
Menu > Appetizers > Menu > Dessert > Sauces & Sides,false,4
viewed_favourite_store > Appetizers > Sauces & Sides > Menu,false,4
Menu > Quick_Reorder > Menu,false,4
viewed_favourite_store > Kids Menu > added_item > Appetizers,false,4
viewed_favourite_store > Menu >  > Menu,false,4
Appetizers > Drinks > Appetizers,false,4
Menu > added_item > viewed_favourite_store,false,4
